Category: All categories

Month,stock market crash: (Worldwide),inflation: (Worldwide),recession: (Worldwide),financial crisis: (Worldwide),cost of living: (Worldwide)
2017-11,2,22,5,2,11
2017-12,2,20,4,2,11
2018-01,2,20,4,2,12
2018-02,8,24,5,2,11
2018-03,2,25,5,2,12
2018-04,2,22,5,2,12
2018-05,1,20,5,2,11
2018-06,1,16,5,1,11
2018-07,1,17,4,1,11
2018-08,1,18,4,2,11
2018-09,1,23,6,2,11
2018-10,3,22,6,2,11
2018-11,2,22,6,2,11
2018-12,3,19,8,2,10
2019-01,2,19,7,2,12
2019-02,1,21,6,2,12
2019-03,2,22,8,2,12
2019-04,1,22,7,2,11
2019-05,1,20,6,2,11
2019-06,1,17,6,1,12
2019-07,1,16,6,1,11
2019-08,1,17,23,2,11
2019-09,1,19,12,2,12
2019-10,1,19,10,2,11
2019-11,1,21,8,2,10
2019-12,1,19,7,2,12
2020-01,2,21,6,1,14
2020-02,3,21,8,2,13
2020-03,8,21,37,4,9
2020-04,3,23,23,3,8
2020-05,2,20,13,2,8
2020-06,2,18,11,2,9
2020-07,2,17,7,1,9
2020-08,2,19,9,1,9
2020-09,2,21,7,2,9
2020-10,2,20,6,1,9
2020-11,2,20,7,1,8
2020-12,2,20,5,1,8
2021-01,3,22,4,1,9
2021-02,3,25,5,1,9
2021-03,2,27,4,1,8
2021-04,2,25,4,1,8
2021-05,2,35,4,1,9
2021-06,1,30,3,1,9
2021-07,1,24,3,1,9
2021-08,1,23,3,1,9
2021-09,2,26,4,1,9
2021-10,2,36,5,1,10
2021-11,2,41,4,1,9
2021-12,1,42,4,1,9
2022-01,3,51,5,1,12
2022-02,2,50,6,2,13
2022-03,2,57,10,2,14
2022-04,2,56,15,2,14
2022-05,3,59,21,2,15
2022-06,2,68,35,2,17
2022-07,1,59,33,1,28
2022-08,1,65,18,1,21
2022-09,1,63,17,2,32
2022-10,1,63,22,2,24
2022-11,1,56,21,2,24
2022-12,1,45,15,2,15
2023-01,1,49,16,1,17
2023-02,2,51,12,2,18
2023-03,2,49,13,2,23
2023-04,1,43,12,2,25
2023-05,1,42,13,2,16
2023-06,1,39,11,1,17
2023-07,1,40,8,1,16
2023-08,3,39,8,1,19
2023-09,1,43,8,1,23
2023-10,1,40,8,1,23
2023-11,1,43,8,2,17
2023-12,1,39,7,1,14
2024-01,1,41,6,1,21
2024-02,2,49,12,1,20
2024-03,2,43,7,1,15
2024-04,2,44,7,2,14
2024-05,1,46,7,1,14
2024-06,1,37,5,1,15
2024-07,1,39,5,1,14
2024-08,6,38,13,1,13
2024-09,1,41,8,1,13
2024-10,1,40,6,1,13
2024-11,2,44,7,1,15
2024-12,2,36,6,1,12
2025-01,3,39,6,1,15
2025-02,3,41,8,1,14
2025-03,4,42,19,2,14
2025-04,6,39,23,2,15
2025-05,1,35,9,1,15
2025-06,1,32,7,1,13
2025-07,1,40,7,1,17
2025-08,3,91,11,3,49
2025-09,2,100,12,3,44
2025-10,4,88,11,3,33
2025-11,3,89,11,3,37
2025-12,2,89,9,3,38
2026-01,2,70,9,4,38
2026-02,3,77,16,7,36
2026-03,3,56,10,3,21
